RACE_CATEGORY,LATIN,NON_US_CITIZEN,HH_AGE,MALE,GRAD_CATEGORY,MAR_CATEGORY,YNGKIDS,SENIORS,DISABLED,NUM_MEMBERS,INCOME,LN_INCOME,STAY_CATEGORY,HOUSE_AGE,UNIT_CATEGORY,NOGOODSCHOOL,NOGOODPTRNS,HIGH_PCRIME,HIGH_SCRIME,HIGH_RISK,RENT_CONTROL,HUD_CATEGORY,DIV4,COMPOSITE_HI2,INCOME_CATEGORY,WHITE,BLACK,ASIAN,OTHER_RACE,MARRIED,SEPARATED,NEVER_MARRIED,HUD_HOU,HUD_HCV,HUD_NON,ONE_FAMILY_HOUSE,APARTMENT,MOBILE_HOUSE,DIV4_1,DIV4_2,DIV4_3,DIV4_4,UNDSCHOOL,HIGHSCHOOL,COLLEGE,BACHELOR,MASTER,STAY_0_5,STAY_5_10,STAY_10_MORE
1,0,0,37.0,0,3,1,1,0,1,6,164000.0,12.00762780434872,1,51.0,1,0,1,0,0,0,0,2,1,0,4.0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0
1,0,0,25.0,0,4,3,0,0,0,2,72000.0,11.184435286790631,1,102.0,2,0,0,1,0,0,0,3,1,0,4.0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0
1,0,0,30.0,1,4,3,0,0,0,4,167600.0,12.029341433599432,1,102.0,2,0,0,1,0,0,0,3,1,0,4.0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0
1,0,0,31.0,0,5,3,0,0,0,2,160000.0,11.982935344196433,2,41.0,2,0,0,1,0,0,0,3,3,0,4.0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0
1,0,0,28.0,1,4,3,0,0,0,2,122000.0,11.711784520403112,1,11.0,2,0,0,1,0,0,0,3,3,0,4.0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0
1,0,1,40.0,0,5,3,0,0,0,2,80000.0,11.289794413577894,2,51.0,2,0,0,0,0,0,0,3,3,1,4.0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0
1,0,0,49.0,1,2,2,0,0,0,4,219600.0,12.299567542341206,2,41.0,1,1,0,0,0,0,0,3,4,1,4.0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0
1,0,0,20.0,1,4,3,0,0,0,1,85000.0,11.350418300109132,1,101.0,1,0,0,0,0,0,0,3,3,0,4.0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0
1,0,0,45.0,0,2,2,0,0,0,1,60000.0,11.002116507732017,1,102.0,2,0,1,0,0,0,0,3,4,0,4.0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0
1,0,0,34.0,0,5,3,0,0,0,1,95000.0,11.461642696843066,1,9.0,2,1,0,1,0,0,0,3,3,0,4.0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0
1,0,0,71.0,1,4,2,0,1,0,1,70020.0,11.156550476040493,3,71.0,2,0,0,1,0,0,0,3,3,1,4.0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1
1,0,0,66.0,1,5,3,0,1,0,1,67000.0,11.112462823634855,3,81.0,2,0,0,0,0,0,0,3,3,0,4.0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1
1,0,0,57.0,0,3,3,0,0,1,2,137000.0,11.827743504053695,1,61.0,1,0,0,0,0,0,0,3,4,0,4.0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0
1,0,0,42.0,1,5,1,1,0,0,4,226900.0,12.332269077986075,1,31.0,1,0,1,0,0,0,0,3,3,0,4.0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0
1,0,0,24.0,1,4,3,0,0,0,1,126000.0,11.744045122410057,1,41.0,2,0,0,0,0,0,0,3,3,0,4.0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0
2,0,0,44.0,0,5,3,0,0,0,2,220000.0,12.301387370778713,1,8.0,2,0,0,0,0,0,0,3,3,0,4.0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0
4,1,1,46.0,1,1,1,0,0,0,3,90000.0,11.407576060361786,2,21.0,2,0,0,0,0,0,0,3,3,0,4.0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0
2,0,0,37.0,0,2,3,0,0,0,3,88000.0,11.385103457032141,1,101.0,1,0,0,0,0,0,0,3,1,0,4.0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
1,0,0,31.0,1,4,3,0,0,0,2,298040.0,12.604986339916364,1,102.0,2,0,0,0,0,0,0,3,1,0,4.0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0
1,1,0,49.0,0,1,3,0,1,0,2,81000.0,11.302216779257382,1,101.0,1,0,0,0,0,0,0,3,1,0,4.0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0
1,0,0,85.0,0,4,2,0,1,1,1,56300.0,10.938467575959383,2,61.0,2,0,0,0,0,0,0,3,1,1,4.0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0
1,0,0,28.0,0,4,3,0,0,0,2,95000.0,11.461642696843066,1,102.0,2,0,0,1,0,0,0,3,1,0,4.0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0
1,1,0,30.0,1,4,3,0,0,0,1,70000.0,11.156264806643742,1,51.0,2,0,0,0,0,0,0,3,1,0,4.0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0
2,1,0,25.0,1,3,3,0,0,0,3,86000.0,11.362114203075018,1,101.0,1,0,0,1,0,0,0,3,1,0,4.0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0
