RACE_CATEGORY,LATIN,NON_US_CITIZEN,HH_AGE,MALE,GRAD_CATEGORY,MAR_CATEGORY,YNGKIDS,SENIORS,DISABLED,NUM_MEMBERS,INCOME,LN_INCOME,STAY_CATEGORY,HOUSE_AGE,UNIT_CATEGORY,NOGOODSCHOOL,NOGOODPTRNS,HIGH_PCRIME,HIGH_SCRIME,HIGH_RISK,RENT_CONTROL,HUD_CATEGORY,DIV4,COMPOSITE_HI2,INCOME_CATEGORY,WHITE,BLACK,ASIAN,OTHER_RACE,MARRIED,SEPARATED,NEVER_MARRIED,HUD_HOU,HUD_HCV,HUD_NON,ONE_FAMILY_HOUSE,APARTMENT,MOBILE_HOUSE,DIV4_1,DIV4_2,DIV4_3,DIV4_4,UNDSCHOOL,HIGHSCHOOL,COLLEGE,BACHELOR,MASTER,STAY_0_5,STAY_5_10,STAY_10_MORE
1,0,0,61.0,1,3,2,0,0,1,1,17250.0,9.755625391793744,3,41.0,2,0,1,0,0,0,0,3,3,2,2.0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1
1,1,1,26.0,0,1,3,1,0,0,4,38400.0,10.555838779903407,1,51.0,1,0,1,0,0,1,0,3,3,0,2.0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0
1,0,0,36.0,0,3,1,0,0,0,2,33000.0,10.404293143019792,1,61.0,2,0,0,0,1,1,0,3,3,0,2.0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0
1,0,0,80.0,0,4,2,0,1,0,1,15500.0,9.648659816955295,1,61.0,2,0,0,0,0,0,0,3,3,1,2.0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0
1,0,0,65.0,0,2,1,0,1,0,2,27400.0,10.21833478806055,1,31.0,2,0,0,0,0,1,0,3,4,1,2.0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0
2,0,0,59.0,0,3,3,0,0,1,1,25000.0,10.12667110305036,2,91.0,2,0,0,0,1,0,0,2,1,0,2.0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
1,0,0,63.0,1,1,3,0,0,0,1,22000.0,9.99884318585288,2,41.0,2,0,0,0,0,0,0,3,4,1,2.0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0
1,0,0,69.0,0,2,2,0,1,1,4,39500.0,10.584081267024454,3,61.0,2,0,0,0,0,0,0,1,1,0,2.0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1
1,0,0,79.0,0,3,2,0,1,1,1,16400.0,9.70509758756311,2,31.0,2,1,1,0,1,0,0,3,4,1,2.0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0
1,0,0,65.0,0,3,2,0,1,1,1,13200.0,9.488047863280759,1,21.0,2,0,0,0,0,0,0,1,4,0,2.0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
2,0,0,56.0,1,2,3,0,0,0,1,19700.0,9.888424674859083,1,51.0,2,0,1,0,0,0,0,3,1,0,2.0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0
1,0,0,67.0,0,3,2,0,1,0,1,18000.0,9.798182590890704,2,41.0,2,0,0,0,0,0,0,1,1,0,2.0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
1,1,0,50.0,0,1,2,0,0,1,2,32000.0,10.373522431293592,1,51.0,2,0,0,0,0,0,0,3,1,1,2.0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0
2,1,0,59.0,1,4,1,0,0,1,4,45000.0,10.714439990727769,1,51.0,2,0,1,0,0,0,0,3,1,1,2.0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0
2,0,0,23.0,0,4,3,0,0,0,1,20000.0,9.90353755128617,1,61.0,2,0,0,0,0,0,0,3,1,1,2.0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0
1,0,0,72.0,1,3,1,0,1,0,2,18000.0,9.798182590890704,1,2.0,1,0,0,0,0,0,0,3,1,2,2.0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0
1,0,0,85.0,0,2,2,0,1,1,1,23000.0,10.043292972227004,1,10.0,2,0,1,0,0,0,0,3,1,0,2.0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0
2,0,0,47.0,0,2,3,0,0,0,3,40800.0,10.616461869895815,2,41.0,2,0,0,0,0,0,0,3,1,2,2.0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0
2,0,0,52.0,0,2,3,0,0,0,2,26000.0,10.165890277802454,3,41.0,2,0,0,0,0,0,0,2,1,1,2.0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1
1,0,0,85.0,0,2,2,0,1,1,1,19200.0,9.862717639992917,3,21.0,2,0,0,0,0,0,0,1,1,0,2.0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1
1,0,0,72.0,1,3,3,0,1,1,1,22500.0,10.021315031649332,1,61.0,2,0,0,0,0,0,0,1,1,0,2.0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0
4,1,0,19.0,0,2,3,0,0,1,1,15000.0,9.61587214452889,1,102.0,2,1,1,1,1,0,0,3,1,3,2.0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0
