RACE_CATEGORY,LATIN,NON_US_CITIZEN,HH_AGE,MALE,GRAD_CATEGORY,MAR_CATEGORY,YNGKIDS,SENIORS,DISABLED,NUM_MEMBERS,INCOME,LN_INCOME,STAY_CATEGORY,HOUSE_AGE,UNIT_CATEGORY,NOGOODSCHOOL,NOGOODPTRNS,HIGH_PCRIME,HIGH_SCRIME,HIGH_RISK,RENT_CONTROL,HUD_CATEGORY,DIV4,COMPOSITE_HI2,INCOME_CATEGORY,WHITE,BLACK,ASIAN,OTHER_RACE,MARRIED,SEPARATED,NEVER_MARRIED,HUD_HOU,HUD_HCV,HUD_NON,ONE_FAMILY_HOUSE,APARTMENT,MOBILE_HOUSE,DIV4_1,DIV4_2,DIV4_3,DIV4_4,UNDSCHOOL,HIGHSCHOOL,COLLEGE,BACHELOR,MASTER,STAY_0_5,STAY_5_10,STAY_10_MORE
1,0,0,70.0,0,3,2,0,1,1,1,25200.0,10.134638955251866,2,51.0,2,0,1,0,0,0,0,3,2,1,3.0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0
2,0,0,38.0,0,2,2,0,0,0,1,35000.0,10.463131911491967,1,41.0,1,0,1,0,0,0,0,3,3,1,3.0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0
2,0,0,41.0,1,2,1,1,0,0,3,61000.0,11.0186455364637,1,21.0,1,0,0,0,0,0,0,3,3,0,3.0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0
1,0,0,57.0,0,5,2,0,0,0,1,35700.0,10.482933978579906,1,101.0,2,0,0,1,0,0,0,3,3,0,3.0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0
1,0,0,35.0,0,5,2,1,0,0,2,52800.0,10.874285408908944,1,51.0,2,0,0,0,0,0,0,3,1,0,3.0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0
1,0,0,53.0,1,1,3,0,0,0,2,56000.0,10.933124826700707,1,51.0,2,1,1,0,0,0,0,3,3,2,3.0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0
2,0,0,51.0,0,2,2,0,0,0,4,60000.0,11.002116507732017,1,101.0,1,0,0,1,1,0,0,2,3,0,3.0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0
2,0,0,21.0,1,2,3,0,0,0,1,30000.0,10.308985993422082,1,51.0,2,0,1,0,1,0,0,3,3,2,3.0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0
1,0,0,27.0,0,2,3,0,0,1,3,49600.0,10.811766273800105,1,41.0,1,0,0,0,0,0,0,3,4,0,3.0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0
1,0,0,85.0,1,5,2,0,1,1,1,29000.0,10.275085591132715,1,10.0,2,0,1,1,0,0,0,3,3,1,3.0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0
2,0,0,53.0,0,2,3,0,0,0,2,40000.0,10.596659732783579,1,102.0,2,0,0,0,0,0,0,2,3,0,3.0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0
2,1,0,53.0,0,4,1,0,0,0,2,58000.0,10.968215530759236,2,61.0,2,0,0,0,0,0,0,3,3,0,3.0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0
1,1,1,54.0,1,1,1,1,0,0,8,142000.0,11.863589378812122,2,91.0,1,0,0,1,1,0,0,3,3,0,3.0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0
1,0,0,67.0,0,4,2,0,1,0,1,45300.0,10.721084386282662,2,61.0,2,0,0,1,0,0,0,3,3,0,3.0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0
3,0,0,41.0,1,4,1,1,0,0,3,82100.0,11.315705475634307,1,31.0,2,0,0,0,0,0,0,3,3,0,3.0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0
2,0,0,43.0,0,1,3,0,0,1,3,72200.0,11.187209175200515,2,61.0,2,0,0,0,1,0,0,1,3,3,3.0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0
1,0,0,22.0,1,3,3,0,0,0,2,58800.0,10.981914140544825,1,21.0,2,0,0,0,0,0,0,3,4,0,3.0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
2,0,0,21.0,0,2,3,0,0,0,1,35000.0,10.463131911491967,1,41.0,2,1,0,1,1,1,0,3,3,1,3.0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0
2,0,0,67.0,1,3,3,0,1,0,1,47300.0,10.764286715905591,3,102.0,1,0,0,1,0,0,0,3,1,2,3.0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1
1,0,0,34.0,0,1,2,1,0,0,7,96800.0,11.480412603789821,1,61.0,1,0,1,0,0,0,0,3,3,3,3.0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0
2,0,0,34.0,1,3,1,0,0,0,2,50600.0,10.831726617926124,1,21.0,2,0,1,0,0,0,0,3,4,0,3.0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
1,0,0,31.0,1,2,3,0,0,0,1,50000.0,10.819798284210286,1,31.0,2,0,0,0,0,0,0,3,4,0,3.0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0
1,0,0,49.0,1,1,1,0,0,0,3,61000.0,11.0186455364637,3,51.0,1,0,1,0,0,0,0,2,3,0,3.0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1
1,0,0,46.0,1,1,1,0,0,0,4,77000.0,11.251573687764477,2,51.0,1,0,1,0,0,1,0,3,3,0,3.0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0
2,0,0,22.0,0,2,3,0,0,0,1,31000.0,10.34177474101152,1,21.0,2,1,1,1,1,1,0,3,3,1,3.0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0
1,0,0,55.0,1,2,1,0,1,1,3,49500.0,10.809748150372926,2,101.0,1,0,0,0,0,0,0,3,1,0,3.0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0
3,0,0,37.0,1,2,1,1,0,0,5,125000.0,11.736077016252437,1,21.0,1,0,1,0,0,0,0,3,4,1,3.0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0
2,0,0,31.0,0,2,1,1,0,0,4,69000.0,11.141876276228,1,41.0,2,0,0,0,0,0,0,3,1,0,3.0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0
2,1,1,34.0,1,1,2,1,0,1,4,100000.0,11.51293546492023,1,51.0,2,1,1,1,0,0,0,3,3,0,3.0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0
1,0,0,76.0,0,3,2,0,1,0,1,34000.0,10.434145214930487,1,81.0,3,0,0,0,0,1,0,3,3,0,3.0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0
