RACE_CATEGORY,LATIN,NON_US_CITIZEN,HH_AGE,MALE,GRAD_CATEGORY,MAR_CATEGORY,YNGKIDS,SENIORS,DISABLED,NUM_MEMBERS,INCOME,LN_INCOME,STAY_CATEGORY,HOUSE_AGE,UNIT_CATEGORY,NOGOODSCHOOL,NOGOODPTRNS,HIGH_PCRIME,HIGH_SCRIME,HIGH_RISK,RENT_CONTROL,HUD_CATEGORY,DIV4,COMPOSITE_HI2,INCOME_CATEGORY,WHITE,BLACK,ASIAN,OTHER_RACE,MARRIED,SEPARATED,NEVER_MARRIED,HUD_HOU,HUD_HCV,HUD_NON,ONE_FAMILY_HOUSE,APARTMENT,MOBILE_HOUSE,DIV4_1,DIV4_2,DIV4_3,DIV4_4,UNDSCHOOL,HIGHSCHOOL,COLLEGE,BACHELOR,MASTER,STAY_0_5,STAY_5_10,STAY_10_MORE
1,0,0,80.0,0,2,2,0,1,0,2,1920.0,7.560601162768557,3,51.0,1,0,0,0,0,0,0,1,2,2,1.0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1
1,0,0,80.0,0,2,2,0,1,1,1,12000.0,9.392745258631441,1,41.0,2,0,0,0,0,0,0,2,1,1,1.0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0
2,0,0,74.0,0,1,1,0,1,1,2,1700.0,7.438971592395862,1,31.0,2,1,1,0,0,0,0,1,3,2,1.0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0
1,0,0,74.0,0,2,2,0,1,0,1,8900.0,9.093918908958932,1,21.0,2,1,0,0,0,1,0,2,3,3,1.0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0
1,0,0,62.0,0,2,2,0,0,0,3,15300.0,9.635673464721814,1,101.0,1,0,0,0,0,0,0,1,2,0,1.0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0
1,0,0,59.0,0,1,2,0,0,1,1,9800.0,9.19023970026918,1,91.0,2,0,0,1,1,0,0,3,3,3,1.0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0
1,0,0,29.0,0,1,2,0,0,1,2,100.0,4.61512051684126,1,21.0,2,0,0,0,0,0,0,1,3,2,1.0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0
2,0,0,78.0,0,5,1,0,1,0,2,1100.0,7.00397413672268,1,61.0,1,1,0,1,1,0,0,1,3,2,1.0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0
1,0,0,21.0,0,1,3,1,0,0,3,700.0,6.55250788703459,1,61.0,2,0,0,0,0,0,0,1,3,2,1.0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0
1,0,0,72.0,0,2,2,0,1,1,3,19600.0,9.883335864325275,3,41.0,1,0,0,1,0,0,0,2,3,0,1.0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
2,0,0,25.0,0,1,3,1,0,0,5,21790.0,9.989252319496922,1,61.0,2,0,0,0,0,0,0,1,3,2,1.0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0
1,0,0,65.0,0,1,2,0,1,0,2,8000.0,8.987321812850125,1,61.0,2,0,1,0,0,0,0,3,4,3,1.0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0
